trial,target,scale,infeasible,true_relative_residual,ejar_residual_score,static_residual_score,action_norm_score,condition_score,clipped
201,long_4link,1.35,1,0.09225046240757893,0.007053061726071891,0.03235178505210697,0.5404975116852371,4.8223743685779406,1
202,long_2link,1.75,1,0.2104019393112302,0.035751223904213855,0.06643952122962252,0.9792577157090263,2.578122097843762,1
203,needle_5link,2.25,1,0.5197911672698158,0.05650644104300848,0.05549227677624123,0.29535562068148913,2.2998868055195447,1
204,asym_3link,0.35,0,0.0052758010111764835,0.00012944805486136266,0.006627738335389999,0.1706327084379652,5.236770404803674,0
205,large_6link,0.7,0,0.0017798021804928297,0.00012069048904760478,0.033707263141650026,0.2259968623769091,3.2621408310653277,0
206,redundant_4link,1.0,0,0.006583351483955803,0.00025663627122164944,0.045157269871769816,0.494296412732712,2.9643235133448087,0
207,short_2link,1.35,0,0.03252763315840962,0.0031602383308354793,0.0031915827346241537,0.724381261871795,344.38993582566144,0
208,soft_5link,1.75,1,0.3084300000385393,0.05674478336272319,0.08452785248149713,0.5948768904457138,2.6938536280045655,1
209,wide_2link,2.25,1,0.5438626936689933,0.10371469218699686,0.0940599342726607,0.4893949764043096,8.939081200738949,1
210,snake_6link,0.35,0,0.0061084241083149545,9.398026562887753e-05,0.01997317537527722,0.14567025331547415,2.009917494175818,0
211,heavy_3link,0.7,0,0.003138526563038946,0.0001250209611536118,0.036631078013492496,0.316692238933439,1.2045466777628284,0
212,teacher_2link,1.0,0,0.0008505421818256738,9.852551948915679e-05,0.02938528238973624,0.7275446493039022,3.1630816575551255,0
213,long_4link,1.35,0,0.0011955126684957559,0.00016243075762296185,0.11834622207642004,0.6049558455790739,2.8242798431185636,0
214,long_2link,1.75,1,0.2584569823259312,0.02259755204806227,0.051400455470749215,0.9094108671060522,4.0549343968742315,1
215,needle_5link,2.25,1,0.3684430984346478,0.016118350852541694,0.030686751174486555,0.45343593906166096,7.127996380241503,1
216,asym_3link,0.35,0,0.01576454295456808,0.0005640515645303668,0.0006439104757224679,0.14513937730016307,106.03707777054076,0
